val,word
1,kaget
1,terhenti
1,terkejut
1,kaget
1,jublek
1,tercagak
1,gegau
1,tergemap
1,cengung
1,terpancang
1,tercengang
1,tersendat
1,terheran-heran
1,pegun
1,kaget
1,terperanjat
1,tertegun
1,tersingahak
1,menggeragap
1,gegau
1,terigau
1,terkeranjat
1,terkejut
1,terkejut
1,terperanjat
1,terkejut
1,tersingahak
1,kemekmek
1,terbang arwah
1,terkeranjat
1,gegau
1,terkinjat
1,gugup
1,teratap
1,terperangah
1,kaget
1,peranjat
1,terkejut
1,terperanjat
1,singahak
1,nanap
1,kinjat
1,kesiap
1,terperangah
1,terperanjat
1,tertegun
1,terkejut
1,kering
1,gegau
1,tergegau
1,gugup
1,terkejut
1,geragap
1,pengabaian
1,penculikan
1,tiba-tiba
1,kecelakaan
1,kebetulan
1,sengaja
1,penghargaan
1,muka
1,menghina
1,kaget
1,alarm
1,mengkhawatirkan
1,kewaspadaan
1,peringatan
1,daya pikat
1,takjub
1,luar biasa
1,penyergapan
1,malaikat
1,anomali
1,penampakan
1,tepuk tangan
1,seni
1,aspirasi
1,menyerang
1,penilaian
1,secara mengejutkan
1,keheranan
1,menyerang
1,longsoran salju
1,penghargaan
1,bang
1,banger
1,mengkhianati
1,bingung
1,kebingungan
1,ulang tahun
1,aneh
1,ledakan
1,berkah
1,penutup mata
1,kilat
1,pertumpahan darah
1,bom
1,bonus
1,istirahat
1,mencerahkan
1,uang
1,bahan tertawaan
1,kabel
1,mayat
1,kamuflase
1,kamuflase
1,jujur
1,menawan
1,pembantaian
1,bencana
1,tangkap
1,perayaan
1,selebriti
1,upacara
1,kesempatan
1,dapat diubah
1,nyanyian
1,bersorak
1,ceria
1,hargai
1,penipuan
1,chimera
1,terkekeh
1,teriakan
1,klimaks
1,badut
1,kebetulan
1,kompensasi
1,pelengkap
1,pujian
1,tersembunyi
1,pengakuan
1,sulap
1,kudeta
1,kecelakaan
1,krim
1,crescendo
1,mahkota
1,rasa ingin tahu
1,siklon
1,daemon
1,fajar
1,kesepakatan
1,kematian
1,penipuan
1,umpan
1,menentang
1,senang
1,banjir
1,tujuan
1,meledakkan
1,kehancuran
1,berbeda
1,mengerikan
1,bencana
1,cemas
1,pemecatan
1,gangguan
1,pembubaran
1,kesusahan
1,gangguan
1,divergen
1,pengalihan
1,perceraian
1,lumba-lumba
1,mengerikan
1,dinamis
1,bersemangat
1,gempa bumi
1,gembira
1,ejakulasi
1,listrik
1,sulit dipahami
1,rasa malu
1,pelukan
1,darurat
1,mempesona
1,meramaikan
1,hiburan
1,semangat
1,antusias
1,epidemi
1,erotis
1,tidak menentu
1,meletus
1,letusan
1,evanescence
1,pemeriksaan
1,penggalian
1,unggul
1,eksitasi
1,menggairahkan
1,bersemangat
1,kegembiraan
1,seru
1,seru
1,kegembiraan
1,mendesak
1,harapkan
1,percobaan
1,meledak
1,ledakan
1,eksplosif
1,pingsan
1,kemeriahan
1,menguntungkan
1,dengan ketakutan
1,prestasi
1,perasaan
1,festival
1,pesta
1,pesta
1,akhirnya
1,tersentak
1,main mata
1,kebetulan
1,meramalkan
1,rejeki
1,panik
1,aneh
1,hingar bingar
1,ketakutan
1,menakut-nakuti
1,ketakutan
1,lincah
